v / Ch.,rounds,t LR / 10ms,N LR,rel delta N LR,Counting Rate LR,delta Counting Rate LR,rel delta Counting Rate LR,t RL / 10ms,N RL,delta N RL,Counting Rate RL,delta Counting Rate RL,rel delta Counting Rate RL
1.78,2,935,5036,0.0140914972193885,538.609625668449,7.58981604244285,0.0140914972193885,1006,5619,0.0133404501383948,558.548707753479,7.45129118565016,0.0133404501383948
1.76,2,946,5038,0.0140886998998137,532.558139534884,7.50305180711009,0.0140886998998137,1018,5889,0.0130310443490913,578.487229862475,7.53829274772089,0.0130310443490913
1.74,3,1433,7594,0.0114753173184274,529.937194696441,6.08119746797888,0.0114753173184274,1543,8977,0.0105544203649071,581.788723266364,6.14044274891584,0.0105544203649071
1.72,2,969,5236,0.0138197498205696,540.350877192982,7.46751393813232,0.0138197498205696,1044,6174,0.0127267258053535,591.379310344828,7.5263223297177,0.0127267258053535
1.70,2,978,5582,0.0133845903578308,570.756646216769,7.6393439036208,0.0133845903578308,1054,6270,0.012628920507068,594.876660341556,7.51265005496363,0.012628920507068
1.66,2,1003,5996,0.0129142499550407,597.806580259222,7.72022360223567,0.0129142499550407,1084,6549,0.0123569845815759,604.151291512915,7.46548819416428,0.0123569845815759
1.62,2,1026,6152,0.0127494613466369,599.610136452242,7.64470625774954,0.0127494613466369,1111,6774,0.0121500314989975,609.72097209721,7.40812901658047,0.0121500314989975
1.58,2,1051,6393,0.012506841550221,608.277830637488,7.60763444629521,0.012506841550221,1139,6930,0.0120124995026075,608.428446005268,7.3087464050105,0.0120124995026074
1.54,2,1078,6719,0.012199658658326,623.283858998145,7.60385032702159,0.012199658658326,1172,7108,0.0118611361330096,606.484641638225,7.19359689705051,0.0118611361330096
1.50,2,1102,6915,0.0120255211861084,627.495462794918,7.54595998202718,0.0120255211861084,1201,7348,0.011665824165344,611.823480432973,7.13742514295981,0.0116658241653439
1.46,2,1133,7042,0.0119165897883597,621.53574580759,7.40658652159126,0.0119165897883597,1238,7658,0.0114272655299865,618.578352180937,7.06865908147308,0.0114272655299865
1.42,2,1163,7180,0.0118015154118746,617.368873602752,7.28588827663452,0.0118015154118746,1274,7916,0.0112395029911749,621.350078492936,6.98366606578814,0.0112395029911749
1.38,2,1195,7552,0.011507182723729,631.966527196653,7.27215430373236,0.011507182723729,1312,7955,0.0112119178756932,606.326219512195,6.79807977905025,0.0112119178756932
1.34,2,1232,7478,0.0115639783413364,606.980519480519,7.01910958088586,0.0115639783413364,1358,8390,0.0109173948963571,617.820324005891,6.74498845216759,0.0109173948963571
1.30,2,1265,7865,0.0112758849626553,621.739130434783,7.01065891156396,0.0112758849626553,1398,8572,0.0108008744741976,613.161659513591,6.62268211679697,0.0108008744741976
1.26,1,652,3912,0.015988236984777,600,9.59294219086619,0.015988236984777,722,4394,0.0150858565490911,608.587257617729,9.18106006602579,0.0150858565490911
1.22,1,672,4036,0.015740713750514,600.595238095238,9.45379772277892,0.015740713750514,747,4375,0.0151185789203691,585.676037483266,8.85458939445981,0.0151185789203691
1.2,1,682,4160,0.0155043418236511,609.970674486804,9.45719383964639,0.015504341823651,760,4567,0.0147973686699128,600.921052631579,8.89205035730155,0.0147973686699128
1.18,1,694,4262,0.0153176900459404,614.121037463977,9.40691570256453,0.0153176900459404,773,4615,0.0147202147989415,597.024579560155,8.78833005137324,0.0147202147989415
1.14,1,717,4374,0.0151203070542171,610.041841004184,9.22401995190318,0.0151203070542171,803,4545,0.0148331386496662,566.002490660025,8.39559342001653,0.0148331386496662
1.12,1,730,4364,0.0151376210494168,597.808219178082,9.04939428214452,0.0151376210494168,818,4538,0.0148445745201404,554.767726161369,8.23529085237129,0.0148445745201404
1.1,1,741,4246,0.0153465233703673,573.009446693657,8.79370286512546,0.0153465233703673,832,4463,0.0149687852073843,536.418269230769,8.02952985343225,0.0149687852073843
1.08,1,752,4265,0.0153123018684696,567.154255319149,8.68443716343388,0.0153123018684696,847,4641,0.0146789237925026,547.933884297521,8.04307973093322,0.0146789237925025
1.06,1,768,4180,0.0154672056222436,544.270833333333,8.41834889335657,0.0154672056222437,866,4641,0.0146789237925026,535.912240184758,7.86661493314139,0.0146789237925026
1.04,1,780,4193,0.0154432097043282,537.564102564103,8.30171516541645,0.0154432097043282,883,4863,0.0143399575337126,550.736126840317,7.89753267117152,0.0143399575337126
1.02,1,795,4209,0.0154138290171619,529.433962264151,8.16060457021816,0.0154138290171619,901,5112,0.0139863559716115,567.369589345172,7.9354330440486,0.0139863559716115
1.0,1,812,4335,0.0151881699851271,533.866995073892,8.10846267063129,0.0151881699851271,923,5448,0.0135481953650851,590.249187432286,7.99681130541536,0.0135481953650851
0.98,1,828,4591,0.0147586404848485,554.468599033816,8.18320271327774,0.0147586404848486,945,5738,0.013201392028167,607.195767195767,8.01582936059497,0.013201392028167
0.96,1,841,4767,0.0144836300757792,566.825208085612,8.20968663153858,0.0144836300757792,960,5911,0.013006771787532,615.729166666667,8.00864875376059,0.013006771787532
0.94,1,859,5069,0.0140455533725213,590.104772991851,8.28834808443658,0.0140455533725213,985,5967,0.0129455939563436,605.786802030457,7.84226996319821,0.0129455939563436
0.9,1,890,5460,0.0135332990490192,613.483146067416,8.30245087726345,0.0135332990490192,1026,6383,0.0125166347093053,622.124756335283,7.78690831866428,0.0125166347093053
0.86,1,932,5754,0.0131830248651463,617.381974248927,8.13896191781669,0.0131830248651463,1082,6699,0.0122178562499719,619.13123844732,7.56445647121641,0.0122178562499719
0.82,1,974,6034,0.0128735210380765,619.507186858316,7.97523880326014,0.0128735210380765,1139,7023,0.0119326984511139,616.593503072871,7.35762433908457,0.0119326984511139
